,description,sentiment
0,are you sending me my card?,1
1,Two days ago I did a transfer to another account within the country.  It doesn't appear the transfer went through.  I have verified the account number several times.  Could you please check on this for me?,1
2,Why didn't I receive the right amount of cash?,0
3,Is there a reason why my virtual card won't work?,0
4,Why is my balance the same after a transfer?,1
5,My money hasn't been transferred yet.,0
6,"It is still pending, I am still waiting. Your system just shows my top-up as pending. What is happening?",0
7,What are the places that you deliver cards to?,1
8,Why are my withdrawals suddenly being declined?,1
9,How do I reset my passcode?,1
10,I do not see the money I transferred into this account,0
11,How much will it cost me for a SEPA transfer?,1
12,Please provide me with the restrictions of the disposable cards.,1
13,Can you tell me how to tell where my funds come from?,1
14,I can't get the top-up to work! What's going on here.,0
15,Why wouldn't the ATM give me my money?,1
16,What if I need my salary in another currency?,1
17,"my card details could be stolen, as i didnt make these transactions",1
18,I can't seem to get my virtual card to work.,0
19,are SWIFT transfers an option?,1
20,What kind of businesses will take my card?,1
21,I didn't receive the correct amount of cash when I exchanged it overseas.,0
22,Do I have to verify the top-up?,1
23,"I'm not sure why my payment has been declined? Please tell me why, I thought it was all good.",0
24,"Hello, I tried to take out some money out of the ATM, but it's still showing that it's pending? I really don't want to be charged for this.",0
25,I have not received the completed transaction.,0
26,How long will it take for me to get my card?,0
27,I need to cancel a transaction please!,1
28,How can I obtain a virtual card?,1
29,"I attempted a transfer, but it failed.",0
30,Can this convert money?,1
31,Why was I charged for cash withdrawal?,0
32,What should I do if I see an unauthorized withdrawal on my statement?,1
33,Can the exchange rate change while I am in the process of making a withdrawal?,1
34,I forgot my pin and am blocked now. Can I reset it somewhere?,1
35,I need someone to find out where my money has gone to? It has disappeared. I completed a top up earlier and seen it had went through. Since it has now disappeared I need to know what's going on.,0
36,How do you determine the exchange rate?,1
37,"Hello, I went ahead and checked my account details to be sure, and they are definitely correct.  I've had a transfer pending for a while, and I can't understand why it hasn't gone through yet.",0
38,What's the youngest I can be to open an account?,1
39,I don't see me 'top up' in my wallet,0
40,"In regards to my card payment, the exchange rate is incorrect.",1
41,"When I tried to top up using my card, all of the money disappeared.",0
42,Where can I find the verification code for the card top-up?,1
43,What systems do you have in place for my security when using my card for everyday purchases?,1
44,What are the various currencies and cards that you offer support for?,1
45,What do you charge for an exchange fee?,1
46,I tried to top up with my card but it was declined. I was able to a couple days ago and it worked. Is something wrong? Can you check it for me please?,0
47,How do I know what my PIN is?,1
48,Was there a way for me to get tracking for that?,1
49,how long will my cash withdrawal be pending for?,1
50,"I made a mistake when making my last transfer, please cancel before it goes thru.",1
51,How long will it take to have my card mailed to me?,1
52,I transferred some money but it hasn't arrived yet,0
53,What are the policies of disposable cards?,1
54,Can I use my salary for this?,1
55,I am trying to make a transfer to a different account but they keep getting declined. I have double checked all the details and the information is correct.,0
56,What do I need to do to receive my payroll in the account?,1
57,I have yet to receive my virtual card,1
58,My daughter needs to open account.,1
59,How do I get refills to my card when I'm traveling?,1
60,What countries are you issuing cards for?,1
61,Reverted top up,1
62,"Someone has copied my card. I have my card with me, but someone just made a 500£ cash withdrawal. Please help now.",1
63,"Someone has a copy of my card. I have my card with me, but someone just made a 500£ cash withdrawal. Help me.",1
64,How do I sign up for a card if I'm in America?,1
65,The app is showing a payment I never made.,0
66,Help me verify my identity.,1
67,Where do I go to unblock my PIN?,0
68,When will my top up be applied?,1
69,Card payment still pending.,0
70,Is it possible to link a new card?,1
71,why don't you accept american express for adding money to my account,0
72,Help me access the card I already got so I can information from it.,0
73,A transaction posted twice to my account.,0
74,"I need to order a new virtual card, how do I do that?",1
75,Why is there a $1 charge on my statement?,0
76,What different currencies can I get?,1
77,I tried to top up but the app rejected it.,1
78,How was I charged extra when I used my card to pay?,1
79,Editing my personal details,1
80,Is my card activated?,1
81,I got less money than I asked for.,0
82,What is the process for getting an actual physical card?,1
83,After my card expires what should I do?,1
84,I want to take some funds from my other bank account and add them to this one.,1
85,My latest payment was declined! What happened! I was told everything had been resolved and was back to working order again.,0
86,I made a payment but the app cancelled it.,0
87,Please tell me why I was charged additionally when I used the card.,1
88,I'm interested in getting a card. How does one go about doing that?,1
89,My refund for a purchase hasn't  cone through yet.,0
90,How much do I need to pay for a transfer?,1
91,I need to order a new card as my other one was stolen.,1
92,What are your supported countries?,1
93,Why hasn't my payment gone through yet?,0
94,I havn't received my PIN yet.,1
95,Why is my disposable card not working?,0
96,I tried entering my pin several times incorrectly. Why isn't my pin working?,0
97,I was expecting my new card by now.,0
98,How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.,1
99,I must change my PIN as soon as possible.,1
100,Is there a way to top up using my Apple Watch?,1
101,Why does it show that my transfer is still pending?,0
102,I lost my card. Can you help me?,1
103,I'm being charged for using my card!,0
104,Why isn't my money from a check deposit showing?,0
105,Is EUR one of the currencies you deal with?,1
106,Where do I go to change my PIN?,1
107,I need my card to be delivered fast,1
